nb_0,director_name,num_critic_for_reviews,duration,director_fb_likes,actor_3_fb_likes,actor_2_name,actor_1_fb_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_fb_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_fb_likes,imdb_score,movie_fb_likes,Horror,Reality-TV,History,Musical,Drama,Romance,Action,Animation,Film-Noir,Biography,Western,Crime,Thriller,Sci-Fi,News,Comedy,Adventure,Music,War,Family,Mystery,Game-Show,Sport,Fantasy,Short,Documentary
1,Marc Forster,654.0,123.0,395.0,1000.0,Brad Pitt,17000.0,202351611.0,Peter Capaldi,World War Z ,465019,32392,Mireille Enos,0.0,995.0,English,USA,PG-13,190000000.0,2013.0,11000.0,7.0,129000,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2,Bryan Singer,539.0,149.0,0.0,20000.0,Peter Dinklage,34000.0,233914986.0,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,7.0,752.0,English,USA,PG-13,200000000.0,2014.0,22000.0,8.0,82000,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
2,J.J. Abrams,590.0,132.0,14000.0,928.0,Bruce Greenwood,19000.0,228756232.0,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0.0,1171.0,English,USA,PG-13,190000000.0,2013.0,981.0,7.8,92000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,Bryan Singer,338.0,114.0,0.0,140.0,Ewen Bremner,979.0,65171860.0,Eddie Marsan,Jack the Giant Slayer ,106416,1766,Ralph Brown,1.0,205.0,English,USA,PG-13,195000000.0,2013.0,557.0,6.3,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,Baz Luhrmann,490.0,143.0,1000.0,77.0,Elizabeth Debicki,29000.0,144812796.0,Leonardo DiCaprio,The Great Gatsby ,362912,29770,Steve Bisley,4.0,753.0,English,Australia,PG-13,105000000.0,2013.0,509.0,7.3,115000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Mike Newell,306.0,116.0,179.0,236.0,Richard Coyle,15000.0,90755643.0,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,Reece Ritchie,2.0,453.0,English,USA,PG-13,200000000.0,2010.0,567.0,6.6,23000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,Guillermo del Toro,575.0,131.0,0.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Charlie Hunnam,Pacific Rim ,381148,19166,Larry Joe Campbell,0.0,1106.0,English,USA,PG-13,190000000.0,2013.0,968.0,7.0,83000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,Michael Bay,428.0,154.0,0.0,581.0,Lester Speight,894.0,352358779.0,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,2.0,899.0,English,USA,PG-13,195000000.0,2011.0,829.0,6.3,46000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,Steven Spielberg,470.0,122.0,14000.0,1000.0,Ray Winstone,11000.0,317011114.0,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2.0,2054.0,English,USA,PG-13,185000000.0,2008.0,1000.0,6.2,5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,Peter Sohn,298.0,93.0,113.0,113.0,Jack McGraw,275.0,123070338.0,A.J. Buckley,The Good Dinosaur ,62836,696,Peter Sohn,0.0,345.0,English,USA,PG,200000000.0,2015.0,150.0,6.8,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
2,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Kelly Macdonald,Brave ,273556,5005,Julie Walters,0.0,428.0,English,USA,PG,185000000.0,2012.0,1000.0,7.2,39000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
1,Justin Lin,322.0,122.0,681.0,105.0,Melissa Roxburgh,998.0,130468626.0,Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4.0,432.0,English,USA,PG-13,185000000.0,2016.0,119.0,7.5,30000,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2,Andrew Stanton,421.0,98.0,475.0,522.0,Fred Willard,1000.0,223806889.0,John Ratzenberger,WALL·E ,718837,2975,Jeff Garlin,0.0,1043.0,English,USA,G,180000000.0,2008.0,729.0,8.4,16000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2,Brett Ratner,162.0,91.0,420.0,173.0,Dana Ivey,268.0,140080850.0,Tzi Ma,Rush Hour 3 ,121084,1125,Noémie Lenoir,2.0,221.0,English,USA,PG-13,140000000.0,2007.0,268.0,6.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,166112167.0,Oliver Platt,2012 ,283418,2144,Tom McCarthy,0.0,1055.0,English,USA,PG-13,200000000.0,2009.0,468.0,5.8,13000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4,Robert Zemeckis,240.0,96.0,0.0,10000.0,Colin Firth,18000.0,137850096.0,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0.0,249.0,English,USA,PG,200000000.0,2009.0,14000.0,6.8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,Lana Wachowski,384.0,127.0,0.0,13000.0,Mila Kunis,17000.0,47375327.0,Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1.0,720.0,English,USA,PG-13,176000000.0,2015.0,15000.0,5.4,44000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
